Least powerful superpower, Most powerful superpower
Worst place to dance, Best place to dance
Least useful app, Most useful app
Worst smell, Best smell
Least comfortable clothing, Most comfortable clothing
Worst thing to find in your food, Best thing to find in your food
Least fun holiday, Most fun holiday
Awful time to laugh, Appropriate time to laugh
Least interesting subject in school, Most interesting subject in school
Worst thing to say on a first date, Best thing to say on a first date
Least exciting job, Most exciting job
Worst sound to wake up to, Best sound to wake up to
Least trustworthy person, Most trustworthy person
Worst time to check your phone, Best time to check your phone
Least fun activity at a party, Most fun activity at a party
Worst thing to step on, Best thing to step on
Least helpful advice, Most helpful advice
